t,ax,ay,az
4494.961000,-0.081787,0.054688,1.114990
4494.973000,0.124023,0.021729,1.144531
4494.985000,0.153076,0.053955,1.031006
4494.996000,-0.224854,0.114502,0.849854
4495.007000,0.010498,0.018799,1.026611
4495.019000,0.150879,0.023682,1.001709
4495.030000,0.301025,0.042480,0.990234
4495.041000,0.067871,0.078857,1.112305
4495.052000,0.280029,0.058594,1.057617
4495.064000,0.095215,0.087646,1.039307
4495.075000,0.079346,0.075195,1.031738
4495.086000,0.076172,0.011475,1.060791
4495.097000,0.131104,0.061768,1.024170
4495.140000,0.062500,0.059570,1.039062
4495.151000,0.054443,0.060791,1.031738
4495.162000,0.050537,0.074463,1.042725
4495.174000,0.039795,0.071533,1.032227
4495.185000,0.061279,0.071533,1.041260
4495.196000,0.059570,0.070801,1.043213
4495.207000,0.060791,0.068604,1.039062
4495.219000,0.059570,0.065186,1.038086
4495.230000,0.057617,0.066895,1.039795
4495.241000,0.063965,0.064453,1.038574
4495.252000,0.047852,0.068359,1.035889
4495.263000,0.050293,0.062988,1.041748
4495.274000,0.053711,0.064209,1.031250
4495.287000,0.056152,0.062988,1.036377
4495.299000,0.058594,0.062988,1.037842
4495.311000,0.060303,0.067627,1.036133
4495.322000,0.056885,0.064209,1.036377
4495.333000,0.055420,0.066406,1.038818
4495.345000,0.054932,0.065186,1.039551
4495.356000,0.060059,0.063965,1.041504
4495.367000,0.059814,0.064941,1.035400
4495.379000,0.058350,0.065674,1.035644
4495.390000,0.056885,0.064941,1.034424
4495.401000,0.057373,0.065674,1.038574
4495.413000,0.055664,0.067627,1.038818
4495.424000,0.057373,0.063477,1.041260
4495.435000,0.059326,0.067139,1.041260
4495.447000,0.051514,0.063721,1.036621
4495.458000,0.060059,0.065186,1.050049
4495.469000,0.060547,0.063721,1.037598
4495.481000,0.057861,0.064941,1.041992
4495.492000,0.055420,0.064453,1.041992
4495.503000,0.058838,0.062988,1.041992
4495.514000,0.057373,0.070557,1.042969
4495.525000,0.056885,0.068604,1.040283
4495.536000,0.051758,0.068848,1.040772
4495.548000,0.059814,0.070068,1.027588
4495.559000,0.058105,0.064941,1.046387
4495.570000,0.057861,0.065674,1.042969
4495.581000,0.054688,0.066650,1.039795
4495.595000,0.059570,0.068848,1.041504
4495.607000,0.057861,0.062012,1.043457
4495.618000,0.056152,0.061523,1.038086
4495.629000,0.056152,0.063477,1.044678
4495.641000,0.058350,0.066650,1.043945
4495.652000,0.061768,0.068359,1.039062
4495.663000,0.061035,0.067627,1.032471
4495.675000,0.059326,0.070312,1.037598
4495.686000,0.059326,0.066406,1.039795
4495.697000,0.056641,0.066406,1.041260
4495.709000,0.056152,0.060791,1.035400
4495.720000,0.057617,0.060547,1.041260
4495.731000,0.061768,0.064697,1.034180
4495.742000,0.062500,0.062012,1.041992
4495.753000,0.054443,0.059814,1.035889
4495.764000,0.056152,0.062012,1.031982
4495.775000,0.055420,0.066162,1.036133
4495.786000,0.058838,0.060303,1.033447
4495.797000,0.063477,0.068359,1.039307
4495.808000,0.060303,0.063965,1.041016
4495.819000,0.058350,0.064941,1.035889
4495.830000,0.055176,0.062988,1.041992
4495.841000,0.059326,0.062500,1.039062
4495.852000,0.060303,0.063965,1.039795
4495.863000,0.060547,0.062988,1.037842
4495.874000,0.056641,0.061035,1.038818
4495.888000,0.058594,0.063721,1.040772
4495.900000,0.055176,0.062012,1.039062
4495.911000,0.060303,0.062500,1.032471
4495.922000,0.055664,0.065430,1.039062
4495.933000,0.057861,0.063232,1.047363
4495.944000,0.056885,0.064209,1.045654
4495.955000,0.059570,0.063721,1.048096
4495.966000,0.060791,0.066406,1.044922
4495.978000,0.058350,0.062012,1.044434
4495.989000,0.058105,0.064697,1.036621
4496.000000,0.056396,0.062500,1.034424
4496.011000,0.056396,0.060303,1.042725
4496.022000,0.062256,0.062012,1.040039
4496.033000,0.061035,0.062500,1.032471
4496.044000,0.058838,0.059570,1.034912
4496.055000,0.060059,0.065918,1.030029
4496.066000,0.059082,0.061768,1.039795
4496.078000,0.059570,0.068604,1.037109
4496.089000,0.059814,0.069336,1.039551
4496.100000,0.055420,0.061523,1.036133
4496.111000,0.059570,0.060791,1.041016
4496.123000,0.057617,0.061035,1.035889
4496.134000,0.060303,0.061035,1.039795
4496.145000,0.059326,0.063721,1.041748
4496.156000,0.057617,0.062500,1.035644
4496.167000,0.056396,0.058594,1.030029
4496.209000,0.051025,0.062988,1.036377
4496.221000,0.058350,0.061279,1.041748
4496.232000,0.055664,0.057373,1.034912
4496.243000,0.056885,0.060303,1.036377
4496.254000,0.056885,0.061035,1.040039
4496.266000,0.060303,0.061279,1.038330
4496.276000,0.061035,0.060791,1.041992
4496.287000,0.058350,0.059814,1.040039
4496.298000,0.059814,0.063477,1.039062
4496.309000,0.058105,0.061035,1.037842
4496.320000,0.056641,0.065918,1.045654
4496.331000,0.054932,0.063232,1.039795
4496.342000,0.057129,0.063965,1.041260
4496.353000,0.064697,0.064453,1.038574
4496.364000,0.060303,0.064209,1.040527
4496.375000,0.058350,0.060791,1.033691
4496.386000,0.058594,0.063232,1.032227
4496.397000,0.058350,0.062256,1.038574
4496.408000,0.056396,0.062012,1.040527
4496.420000,0.057373,0.064453,1.034424
4496.431000,0.061523,0.062012,1.039307
4496.442000,0.060303,0.063965,1.029297
4496.453000,0.062012,0.062256,1.040039
4496.465000,0.060791,0.066895,1.045410
4496.476000,0.061768,0.061279,1.045654
4496.487000,0.059082,0.060059,1.037598
4496.501000,0.056885,0.056885,1.028564
4496.513000,0.058105,0.056885,1.032227
4496.525000,0.057617,0.060547,1.040527
4496.536000,0.059814,0.062744,1.047607
4496.547000,0.058350,0.060059,1.041992
4496.559000,0.060059,0.063721,1.033691
4496.570000,0.062012,0.062744,1.041260
4496.581000,0.063232,0.064209,1.035889
4496.592000,0.063721,0.063477,1.038330
4496.603000,0.061523,0.066162,1.044922
4496.614000,0.059814,0.062012,1.041016
4496.625000,0.061768,0.070312,1.044189
4496.636000,0.060303,0.063232,1.035889
4496.647000,0.060059,0.055664,1.037354
4496.658000,0.058105,0.065186,1.040527
4496.669000,0.057861,0.058594,1.037842
4496.680000,0.058105,0.063721,1.035889
4496.691000,0.056396,0.067627,1.042969
4496.702000,0.058594,0.065918,1.036377
4496.714000,0.059082,0.067871,1.041016
4496.725000,0.060059,0.064453,1.043701
4496.736000,0.056641,0.060791,1.041260
4496.748000,0.060791,0.067383,1.041504
4496.759000,0.062500,0.063965,1.031738
4496.769000,0.060791,0.062256,1.037109
4496.781000,0.055420,0.060791,1.041016
4496.792000,0.060303,0.061035,1.037109
4496.806000,0.062012,0.063477,1.041016
4496.818000,0.063477,0.066406,1.040527
4496.830000,0.061523,0.065186,1.035400
4496.841000,0.056885,0.066895,1.048096
4496.852000,0.060547,0.062744,1.033203
4496.863000,0.058105,0.064941,1.038086
4496.874000,0.054443,0.065186,1.039551
4496.885000,0.056641,0.063721,1.037842
4496.896000,0.057373,0.062988,1.038574
4496.907000,0.057617,0.062012,1.038818
4496.919000,0.060547,0.061035,1.038086
4496.930000,0.055664,0.062988,1.038574
4496.941000,0.060059,0.063965,1.037109
4496.953000,0.061279,0.061035,1.035644
4496.964000,0.057129,0.066406,1.056641
4496.975000,0.058838,0.068115,1.041260
4496.987000,0.059326,0.062256,1.043701
4496.998000,0.059570,0.067627,1.041748
4497.009000,0.060547,0.062744,1.043701
4497.020000,0.053711,0.068604,1.046875
4497.031000,0.058838,0.062988,1.039795
4497.043000,0.057861,0.064453,1.034424
4497.054000,0.056396,0.068604,1.042969
4497.065000,0.059326,0.065430,1.041260
4497.076000,0.055176,0.066162,1.039062
4497.087000,0.057861,0.063721,1.040283
4497.101000,0.059326,0.065430,1.040283
4497.113000,0.060547,0.061279,1.036133
4497.124000,0.061768,0.065918,1.045654
4497.135000,0.057861,0.065918,1.037598
4497.146000,0.059814,0.066162,1.035644
4497.158000,0.057373,0.070312,1.056152
4497.169000,0.056641,0.064453,1.038574
4497.180000,0.061035,0.059082,1.025391
4497.191000,0.059082,0.065430,1.036621
4497.203000,0.059570,0.061279,1.031738
4497.214000,0.060791,0.066895,1.041504
4497.225000,0.058105,0.066162,1.044434
4497.237000,0.059082,0.065186,1.039062
4497.248000,0.055908,0.064697,1.032715
4497.259000,0.060791,0.064941,1.043457
4497.271000,0.056152,0.069824,1.038818
4497.282000,0.057373,0.068115,1.037354
4497.293000,0.057373,0.063965,1.038330
4497.305000,0.058594,0.065918,1.038330
4497.316000,0.057373,0.060303,1.034912
4497.327000,0.053223,0.062256,1.043213
4497.338000,0.060059,0.067139,1.037109
4497.349000,0.062256,0.066895,1.042969
4497.360000,0.060547,0.060791,1.042480
4497.371000,0.059326,0.062988,1.037109
4497.383000,0.056885,0.062500,1.041260
4497.426000,0.060059,0.062744,1.041260
4497.438000,0.062012,0.060059,1.038818
4497.449000,0.059814,0.063965,1.045898
4497.461000,0.055908,0.061035,1.034668
4497.472000,0.058838,0.063721,1.038574
4497.483000,0.057861,0.070312,1.043213
4497.495000,0.061035,0.062500,1.035889
4497.506000,0.055908,0.067383,1.037109
4497.516000,0.056641,0.064697,1.039062
4497.527000,0.058105,0.066406,1.041504
4497.538000,0.058105,0.065186,1.041260
4497.550000,0.055420,0.064453,1.036865
4497.561000,0.059082,0.065674,1.033203
4497.572000,0.061279,0.068115,1.034912
4497.583000,0.055908,0.058350,1.038818
4497.601000,0.059082,0.065186,1.040039
4497.612000,0.059326,0.063232,1.043213
4497.624000,0.062744,0.068604,1.036865
4497.634000,0.056885,0.066406,1.040527
4497.645000,0.055420,0.065674,1.040772
4497.657000,0.056641,0.064697,1.039795
4497.668000,0.055420,0.065186,1.046631
4497.679000,0.057861,0.063965,1.033447
4497.691000,0.060547,0.065186,1.040039
4497.702000,0.058594,0.064697,1.041260
4497.713000,0.058838,0.064209,1.034912
4497.727000,0.061279,0.063965,1.041748
4497.739000,0.059082,0.065186,1.044434
4497.750000,0.056641,0.064453,1.037354
4497.760000,0.062988,0.067871,1.043701
4497.771000,0.059814,0.064697,1.039307
4497.782000,0.057129,0.064697,1.036377
4497.794000,0.062500,0.071289,1.034912
4497.804000,0.060791,0.066162,1.042236
4497.815000,0.058838,0.064941,1.037842
4497.827000,0.054932,0.063232,1.039062
4497.838000,0.059082,0.063232,1.040039
4497.849000,0.060059,0.063232,1.035400
4497.861000,0.062744,0.065918,1.041504
4497.872000,0.063965,0.066895,1.035889
4497.884000,0.060059,0.062012,1.040772
4497.894000,0.060059,0.063232,1.040772
4497.905000,0.057617,0.065674,1.042236
4497.916000,0.061035,0.067871,1.039062
4497.928000,0.059082,0.069824,1.041016
4497.939000,0.057861,0.063477,1.031738
4497.950000,0.056152,0.062988,1.043457
