t,gx,gy,gz
4459.374000,-1.328244,-3.152672,0.312977
4459.386000,-1.282443,-3.801527,0.977099
4459.397000,-1.114504,-1.793893,1.030534
4459.408000,-1.778626,-1.000000,0.641221
4459.418000,-3.671756,0.145038,-0.282443
4459.430000,-3.267176,3.206107,0.099237
4459.441000,-4.755726,3.717557,-0.381679
4459.452000,-3.595420,3.694656,-0.381679
4459.463000,-3.938931,1.137405,-0.458015
4459.474000,-2.610687,-0.427481,0.229008
4459.486000,-1.885496,-2.251908,0.587786
4459.497000,-1.450382,-2.977099,0.587786
4459.508000,-1.152672,-3.297710,0.572519
4459.552000,-3.068702,2.038168,-0.244275
4459.564000,-3.519084,3.152672,0.160305
4459.575000,-4.106870,2.992366,0.007634
4459.585000,-3.389313,1.870229,0.190840
4459.596000,-3.450382,0.519084,-0.206107
4459.607000,-2.603053,-0.320611,0.061069
4459.619000,-1.717557,-1.816794,0.809160
4459.630000,-1.877863,-3.137405,0.458015
4459.641000,-2.236641,-3.641221,-0.175573
4459.653000,-1.709924,-1.916030,0.748092
4459.664000,-2.450382,-0.824427,0.030534
4459.676000,-2.519084,0.854962,0.305344
4459.689000,-3.312977,1.045802,-0.427481
4459.702000,-3.061069,2.038168,0.053435
4459.713000,-3.381679,2.183206,-0.083969
4459.724000,-3.351145,0.854962,-0.206107
4459.735000,-2.503817,-0.091603,0.236641
4459.747000,-1.923664,-1.374046,0.557252
4459.758000,-2.083969,-2.763359,0.152672
4459.770000,-2.229008,-2.351145,0.022901
4459.781000,-1.900763,-0.961832,0.458015
4459.792000,-2.297710,-0.213740,0.519084
4459.803000,-2.450382,0.068702,-0.045802
4459.814000,-3.458015,-0.519084,-0.633588
4459.825000,-3.129771,1.152672,0.213740
4459.837000,-2.572519,1.564886,0.290076
4459.848000,-2.900763,0.732824,-0.206107
4459.859000,-2.916031,0.030534,0.145038
4459.871000,-2.496183,-0.648855,0.511450
4459.882000,-2.496183,-1.862595,0.229008
4459.894000,-2.030534,-1.351145,0.267176
4459.905000,-2.022901,-0.740458,0.480916
4459.916000,-2.106870,-0.305344,0.259542
4459.928000,-2.793893,0.129771,0.221374
4459.939000,-2.702290,0.259542,0.099237
4459.950000,-2.618321,0.366412,0.206107
4459.961000,-2.725191,0.160305,-0.152672
4459.974000,-2.793893,0.267176,0.190840
4459.986000,-2.870229,-0.534351,-0.267176
4459.997000,-2.847328,-0.290076,0.335878
4460.008000,-2.564885,0.297710,0.312977
4460.019000,-2.396947,-0.244275,0.274809
4460.031000,-2.793893,-1.450382,0.076336
4460.042000,-2.793893,-0.824427,0.076336
4460.053000,-2.526718,-0.488550,0.511450
4460.065000,-2.725191,-0.427481,-0.091603
4460.076000,-2.793893,0.541985,-0.053435
4460.087000,-3.061069,0.198473,0.160305
4460.098000,-3.099237,-0.106870,0.015267
4460.110000,-3.061069,-0.809160,-0.458015
4460.121000,-2.519084,-0.465649,0.183206
4460.132000,-2.259542,0.343511,0.404580
4460.143000,-2.687023,-0.274809,0.145038
4460.155000,-2.847328,-1.145038,-0.259542
4460.166000,-2.480916,-0.778626,0.068702
4460.177000,-2.335878,-0.175573,0.503817
4460.188000,-2.900763,-0.412214,0.015267
4460.199000,-2.832061,-0.290076,0.160305
4460.210000,-2.389313,0.152672,0.229008
4460.221000,-2.908397,-0.625954,-0.007634
4460.232000,-2.374046,0.007634,0.320611
4460.243000,-2.694656,-0.427481,0.076336
4460.257000,-2.648855,-0.854962,0.099237
4460.270000,-2.160305,-0.572519,0.511450
4460.281000,-2.152672,0.000000,0.801527
4460.291000,-2.496183,0.595420,0.419847
4460.302000,-3.030534,-0.992366,-0.129771
4460.313000,-2.992366,0.015267,-0.465649
4460.325000,-2.114504,-0.160305,0.465649
4460.336000,-2.725191,-0.977099,0.022901
4460.347000,-2.221374,0.816794,0.068702
4460.359000,-2.595420,-1.297710,0.488550
4460.368000,-2.732824,-0.595420,0.038168
4460.379000,-2.587786,0.832061,0.236641
4460.391000,-2.870229,1.099237,0.022901
4460.402000,-2.900763,0.687023,-0.221374
4460.413000,-2.297710,0.145038,0.351145
4460.424000,-2.763359,-0.343511,0.381679
4460.435000,-2.282443,-0.862595,-0.068702
4460.447000,-2.129771,-0.664122,0.526718
4460.458000,-2.068702,-0.656489,0.862595
4460.469000,-2.259542,-1.251908,0.450382
4460.480000,-2.832061,-1.816794,-0.435114
4460.491000,-2.259542,-0.030534,0.175573
4460.503000,-2.221374,1.305344,0.671756
4460.514000,-3.427481,0.931298,-0.229008
4460.525000,-3.488550,1.259542,-0.541985
4460.539000,-3.259542,0.763359,-0.473282
4460.580000,-2.633588,-2.068702,0.076336
4460.591000,-1.946565,-1.664122,0.938931
4460.603000,-2.274809,-1.473282,0.160305
4460.614000,-2.847328,-0.259542,-0.022901
4460.625000,-2.694656,1.488550,0.366412
4460.637000,-2.984733,1.190840,-0.030534
4460.648000,-3.358779,0.465649,0.129771
4460.659000,-3.175573,-0.122137,-0.335878
4460.670000,-2.106870,-0.190840,0.595420
4460.681000,-2.511450,-0.450382,-0.053435
4460.693000,-2.099237,-0.541985,0.343511
4460.704000,-2.183206,0.045802,0.854962
4460.715000,-2.358779,-0.603053,0.351145
4460.726000,-3.007634,-0.465649,0.015267
4460.737000,-2.572519,0.641221,0.030534
4460.749000,-2.679389,0.251908,0.259542
4460.760000,-2.519084,0.465649,0.374046
4460.771000,-2.702290,-1.251908,0.320611
4460.781000,-2.854962,-0.877863,0.251908
4460.793000,-2.801527,-0.007634,0.564886
4460.804000,-2.076336,0.312977,0.458015
4460.815000,-2.580153,-0.129771,-0.091603
4460.826000,-3.030534,0.114504,-0.106870
4460.838000,-2.885496,0.603053,0.259542
4460.852000,-3.030534,0.824427,0.450382
4460.863000,-3.106870,0.419847,0.351145
4460.874000,-3.076336,-1.541985,-0.229008
4460.885000,-2.038168,-0.572519,0.335878
4460.897000,-1.900763,-0.404580,0.725191
4460.908000,-2.297710,-0.885496,0.076336
4460.919000,-2.022901,-1.152672,-0.045802
4460.930000,-2.969466,-1.259542,0.106870
4460.941000,-2.244275,0.297710,0.229008
4460.953000,-3.030534,1.519084,0.114504
4460.964000,-3.450382,2.122137,-0.076336
4460.975000,-3.221374,1.114504,0.076336
4460.987000,-3.061069,-0.022901,0.015267
4460.998000,-3.114504,-1.206107,-0.549618
4461.009000,-1.755725,-1.946565,0.442748
4461.021000,-1.763359,-1.862595,0.763359
4461.032000,-1.717557,-1.435114,0.351145
4461.043000,-2.236641,-1.946565,0.351145
4461.054000,-2.931298,0.206107,0.129771
4461.066000,-3.106870,0.816794,-0.244275
4461.077000,-3.511450,0.916031,-0.435114
4461.088000,-3.221374,2.038168,-0.045802
4461.099000,-3.534351,1.816794,0.061069
4461.111000,-3.099237,0.114504,-0.030534
4461.122000,-2.572519,-1.145038,-0.419847
4461.133000,-1.984733,-1.503817,0.244275
4461.147000,-2.465649,-2.503817,-0.221374
4461.159000,-1.969466,-1.442748,0.519084
4461.171000,-3.007634,-1.396947,-0.297710
4461.182000,-2.702290,0.427481,-0.076336
4461.192000,-3.083969,1.916030,0.160305
4461.203000,-3.679389,1.870229,-0.175573
4461.214000,-3.412214,0.541985,-0.282443
4461.225000,-2.969466,0.328244,-0.503817
4461.237000,-2.412214,0.061069,0.351145
4461.248000,-2.229008,-0.832061,0.732824
4461.259000,-1.893130,-1.335878,0.244275
4461.271000,-1.984733,-1.664122,0.549618
4461.282000,-2.320611,-0.603053,0.129771
4461.293000,-2.954198,-0.587786,0.167939
4461.304000,-2.145038,0.305344,0.374046
4461.316000,-3.129771,0.603053,-0.114504
4461.327000,-2.885496,0.488550,0.206107
4461.338000,-2.854962,-0.877863,-0.305344
4461.349000,-2.916031,-0.396947,-0.328244
4461.360000,-2.633588,0.732824,0.427481
4461.371000,-2.603053,0.572519,0.412214
4461.382000,-2.877863,0.083969,0.213740
4461.393000,-2.946565,-0.778626,-0.007634
4461.404000,-2.877863,-1.503817,-0.022901
4461.415000,-2.450382,0.473282,0.290076
4461.430000,-2.374046,-1.916030,0.557252
4461.441000,-2.427481,-1.641221,0.083969
4461.453000,-2.488550,0.030534,-0.167939
4461.464000,-2.488550,0.335878,0.541985
4461.476000,-2.610687,0.984733,-0.007634
4461.486000,-3.213740,-0.099237,-0.122137
4461.497000,-3.290076,0.137405,-0.358779
4461.508000,-2.908397,0.564886,0.198473
4461.520000,-2.328244,-0.198473,0.358779
4461.531000,-2.587786,-0.709924,0.160305
4461.542000,-2.458015,-0.725191,0.534351
4461.554000,-1.694656,-1.564886,0.534351
4461.565000,-2.717557,-1.709924,-0.458015
4461.576000,-1.931298,0.137405,0.709924
4461.588000,-2.572519,0.145038,0.167939
4461.599000,-2.404580,0.641221,0.282443
4461.610000,-3.343511,-0.091603,-0.290076
4461.620000,-2.938931,0.664122,-0.320611
4461.631000,-3.374046,1.000000,-0.053435
4461.641000,-2.641221,-0.068702,0.412214
4461.653000,-2.244275,-0.801527,0.366412
4461.664000,-2.473282,-1.106870,0.267176
4461.676000,-2.816794,-1.908397,0.145038
4461.686000,-2.351145,-0.458015,0.206107
4461.697000,-2.618321,0.167939,0.259542
4461.742000,-2.198473,1.015267,0.381679
4461.754000,-2.832061,0.396947,0.076336
4461.765000,-2.366412,0.244275,0.687023
4461.776000,-2.595420,-0.992366,0.183206
4461.787000,-2.648855,-1.122137,0.045802
4461.798000,-2.633588,-0.183206,0.076336
4461.810000,-2.603053,0.603053,0.534351
4461.821000,-2.435115,-0.282443,0.305344
4461.832000,-3.106870,-1.030534,-0.511450
4461.844000,-2.893130,-0.167939,-0.091603
4461.855000,-2.358779,-0.076336,0.557252
4461.866000,-2.854962,0.038168,-0.213740
4461.877000,-2.167939,0.862595,0.175573
4461.888000,-3.038168,-1.450382,0.061069
4461.900000,-1.854962,-0.503817,0.320611
4461.911000,-2.862595,-0.557252,-0.129771
4461.922000,-2.648855,0.450382,0.129771
4461.933000,-2.717557,0.480916,0.496183
4461.945000,-3.015267,0.656489,-0.190840
4461.956000,-2.564885,0.358779,-0.076336
4461.968000,-1.931298,-1.167939,0.679389
4461.979000,-2.595420,-1.633588,0.396947
4461.996000,-2.381679,-0.633588,0.190840
4462.007000,-2.129771,0.183206,1.328244
4462.021000,-1.946565,0.473282,0.480916
4462.034000,-3.229008,-0.992366,-0.015267
4462.045000,-2.381679,0.725191,-0.091603
4462.056000,-2.664122,1.129771,0.396947
4462.068000,-2.961832,0.648855,0.236641
4462.079000,-3.152672,-1.687023,-0.068702
4462.090000,-2.152672,-0.030534,0.099237
4462.101000,-2.496183,-0.595420,0.389313
4462.112000,-2.404580,-0.549618,0.572519
4462.123000,-2.030534,-0.847328,0.305344
4462.134000,-2.778626,-0.717557,0.068702
4462.145000,-2.770992,-0.770992,0.167939
4462.157000,-3.083969,0.687023,0.145038
4462.168000,-2.847328,0.854962,-0.099237
4462.179000,-2.648855,0.603053,0.404580
4462.191000,-2.564885,-0.076336,0.259542
4462.202000,-2.984733,-0.648855,0.083969
4462.214000,-2.725191,-1.465649,0.328244
4462.225000,-2.091603,0.923664,0.167939
4462.236000,-2.519084,-0.519084,0.038168
4462.247000,-2.809160,-0.389313,-0.206107
4462.258000,-2.809160,0.106870,0.114504
4462.269000,-2.877863,0.335878,0.076336
4462.280000,-2.206107,-0.351145,0.167939
4462.291000,-2.610687,-0.969466,0.091603
4462.302000,-2.099237,-0.221374,0.312977
4462.316000,-2.244275,-1.732824,0.282443
4462.328000,-1.816794,-0.534351,0.618321
4462.339000,-2.236641,-0.236641,0.480916
4462.350000,-3.045802,-0.061069,-0.061069
4462.361000,-2.992366,0.618321,0.053435
4462.372000,-3.374046,2.335878,0.045802
4462.383000,-3.083969,0.709924,0.442748
4462.395000,-3.068702,1.580153,0.038168
4462.406000,-3.053435,-1.183206,-0.076336
4462.417000,-1.793893,-1.786260,0.458015
4462.428000,-2.022901,-1.572519,0.755725
4462.439000,-2.236641,-1.854962,0.564886
4462.450000,-2.312977,-1.717557,0.137405
4462.461000,-1.793893,-0.877863,0.557252
4462.472000,-2.519084,0.664122,0.404580
4462.483000,-3.290076,0.648855,-0.541985
4462.495000,-3.526718,1.526718,-0.396947
4462.506000,-2.916031,1.816794,0.419847
4462.518000,-3.297710,0.267176,-0.015267
4462.528000,-3.061069,-0.458015,-0.122137
4462.539000,-2.244275,-1.091603,0.106870
4462.550000,-1.984733,-0.687023,0.755725
4462.561000,-2.038168,-1.290076,0.343511
4462.573000,-2.244275,-1.816794,0.099237
4462.584000,-2.786260,-1.496183,0.328244
4462.598000,-2.786260,0.129771,-0.145038
4462.610000,-3.038168,1.091603,-0.282443
4462.621000,-3.442748,0.557252,-0.297710
4462.633000,-3.755725,0.183206,-0.236641
4462.644000,-2.824427,0.709924,0.534351
4462.655000,-2.839695,0.022901,-0.396947
4462.666000,-2.916031,-0.984733,-0.160305
4462.677000,-2.618321,-2.435115,-0.015267
4462.689000,-2.068702,-1.458015,0.847328
4462.700000,-1.862595,-1.557252,0.427481
4462.711000,-2.664122,-1.305344,0.145038
4462.722000,-2.251908,0.618321,0.160305
4462.733000,-2.328244,0.656489,0.198473
4462.744000,-3.488550,0.236641,0.106870
4462.756000,-3.145038,0.290076,-0.328244
4462.767000,-2.992366,0.290076,0.099237
4462.778000,-2.519084,0.435114,0.396947
4462.789000,-2.221374,-1.091603,0.320611
4462.800000,-2.412214,-1.954198,-0.030534
4462.811000,-1.961832,-1.687023,0.442748
4462.822000,-2.442748,-0.809160,0.511450
4462.833000,-2.557252,0.045802,-0.038168
4462.845000,-3.412214,1.114504,0.106870
4462.856000,-3.152672,1.015267,0.503817
4462.868000,-3.923664,0.022901,-0.335878
4462.915000,-2.259542,-0.519084,0.320611
4462.926000,-1.839695,-0.992366,0.526718
4462.937000,-2.564885,-1.526718,0.595420
4462.948000,-3.007634,-1.175572,-0.221374
4462.959000,-3.267176,0.679389,-0.030534
4462.970000,-2.618321,1.702290,0.519084
4462.980000,-3.396947,1.015267,0.145038
4462.991000,-3.580153,-0.160305,-0.183206
4463.003000,-2.923664,-0.519084,-0.152672
4463.014000,-2.381679,-0.938931,0.320611
4463.025000,-2.129771,-1.213740,0.274809
4463.037000,-2.351145,-1.190840,0.076336
4463.048000,-2.473282,-1.045802,0.259542
4463.059000,-2.458015,-0.229008,-0.053435
4463.071000,-3.343511,-0.534351,-0.251908
4463.082000,-3.114504,1.076336,0.328244
4463.093000,-2.641221,1.893130,0.183206
4463.104000,-3.152672,0.778626,-0.282443
4463.116000,-3.114504,-0.267176,-0.221374
4463.126000,-2.412214,-1.213740,0.076336
4463.137000,-1.458015,-1.366412,1.083970
4463.148000,-2.213740,-0.259542,0.916031
4463.159000,-2.473282,-0.671756,0.145038
4463.171000,-2.603053,-1.015267,0.175573
4463.182000,-2.709924,-0.625954,0.297710
4463.196000,-3.236641,0.312977,-0.038168
4463.208000,-2.893130,0.389313,-0.068702
4463.220000,-3.229008,-0.923664,-0.167939
4463.231000,-2.061069,-0.198473,0.541985
4463.242000,-3.175573,-0.656489,0.038168
4463.254000,-2.381679,0.969466,0.198473
4463.265000,-2.763359,1.259542,0.320611
4463.276000,-2.854962,0.328244,0.274809
4463.287000,-3.007634,-0.923664,-0.083969
4463.299000,-2.526718,-0.984733,0.045802
4463.310000,-1.854962,-0.977099,0.618321
4463.321000,-2.290076,-1.824428,0.198473
4463.333000,-1.847328,-1.312977,0.458015
4463.344000,-1.717557,-0.137405,1.000000
4463.354000,-2.763359,-0.045802,0.351145
4463.365000,-2.351145,0.809160,0.641221
4463.377000,-3.580153,1.587786,-0.595420
4463.388000,-3.580153,1.847328,-0.358779
4463.399000,-2.931298,1.190840,0.267176
4463.411000,-2.961832,-0.656489,-0.076336
4463.422000,-2.541985,-1.900763,0.190840
4463.434000,-1.580153,-1.404580,0.595420
4463.445000,-1.755725,-1.641221,0.694656
4463.456000,-1.847328,-1.259542,0.282443
4463.467000,-1.732824,-0.694656,0.648855
4463.482000,-2.687023,1.068702,0.328244
4463.494000,-2.832061,1.442748,0.007634
4463.505000,-3.633588,1.122137,-0.213740
4463.516000,-3.000000,0.786260,0.007634
4463.526000,-2.763359,0.786260,0.297710
4463.537000,-2.358779,0.412214,0.328244
4463.549000,-2.267176,-1.480916,-0.045802
4463.560000,-2.335878,-1.488550,0.221374
4463.571000,-1.816794,-1.709924,0.641221
4463.583000,-1.900763,-1.893130,0.549618
4463.594000,-2.694656,-0.740458,-0.221374
4463.605000,-3.053435,-0.099237,0.183206
4463.616000,-2.809160,1.190840,0.007634
4463.627000,-3.053435,0.709924,0.152672
4463.638000,-2.748092,0.007634,-0.122137
4463.649000,-2.946565,0.114504,-0.435114
4463.660000,-2.328244,0.618321,0.603053
4463.671000,-2.618321,0.366412,0.419847
4463.683000,-2.038168,-1.312977,0.007634
4463.694000,-2.938931,-2.320611,-0.251908
4463.705000,-2.083969,0.152672,1.000000
4463.716000,-2.671756,0.312977,0.458015
4463.727000,-3.114504,0.137405,-0.183206
4463.738000,-3.282443,-0.022901,0.206107
4463.749000,-2.664122,-0.328244,0.259542
4463.762000,-2.725191,-1.793893,0.007634
4463.773000,-2.374046,-0.984733,0.419847
4463.785000,-2.267176,-0.557252,0.381679
4463.797000,-3.190840,0.709924,-0.152672
4463.808000,-2.748092,1.954198,0.648855
4463.819000,-2.908397,0.786260,-0.328244
4463.831000,-3.229008,-0.175573,0.038168
4463.842000,-2.549618,-0.496183,-0.236641
4463.853000,-2.473282,-0.015267,0.236641
4463.864000,-2.038168,-1.816794,0.122137
4463.875000,-2.244275,-1.244275,0.259542
4463.887000,-1.671756,-1.282443,0.587786
4463.898000,-2.259542,-1.648855,0.442748
4463.910000,-2.328244,-0.465649,-0.183206
4463.921000,-2.580153,0.496183,0.167939
4463.932000,-2.992366,1.175572,-0.183206
4463.943000,-3.473282,2.328244,-0.442748
4463.955000,-3.389313,1.145038,-0.022901
4463.966000,-2.984733,0.396947,0.267176
4463.977000,-2.251908,-1.038168,0.267176
4463.988000,-2.099237,-2.229008,0.244275
4464.000000,-1.541985,-1.923664,0.526718
4464.011000,-1.809160,-1.435114,0.946565
4464.022000,-2.076336,-2.190840,0.328244
4464.033000,-3.427481,-0.206107,-0.679389
4464.081000,-2.595420,2.992366,0.267176
4464.092000,-3.244275,-1.038168,0.190840
4464.103000,-2.496183,-1.396947,-0.007634
4464.114000,-1.396947,-1.442748,0.656489
4464.126000,-1.954198,-2.916031,0.587786
4464.137000,-2.106870,-2.374046,0.198473
4464.148000,-2.374046,-1.022901,0.305344
4464.159000,-2.206107,0.793893,0.656489
4464.170000,-3.267176,-0.038168,-0.167939
4464.181000,-3.221374,0.519084,-0.427481
4464.192000,-3.160305,1.908397,0.160305
4464.203000,-3.366412,1.954198,0.167939
4464.214000,-2.809160,1.099237,-0.022901
4464.225000,-3.297710,-0.763359,0.022901
4464.236000,-2.618321,-1.748092,0.175573
4464.247000,-1.847328,-2.297710,0.442748
4464.258000,-1.511450,-1.053435,1.122137
4464.270000,-2.206107,-1.534351,0.511450
4464.281000,-2.763359,-1.183206,-0.213740
4464.292000,-2.656489,0.106870,0.610687
4464.304000,-3.297710,0.900763,-0.007634
4464.314000,-3.778626,2.419847,-0.152672
4464.324000,-3.244275,1.015267,-0.083969
4464.335000,-3.114504,0.335878,-0.045802
4464.349000,-2.679389,-0.877863,0.099237
4464.361000,-2.145038,-1.175572,0.541985
4464.373000,-2.045802,-2.763359,0.198473
4464.384000,-2.106870,-1.961832,0.389313
4464.396000,-1.351145,-1.190840,0.824427
4464.407000,-2.557252,-0.328244,0.229008
4464.418000,-3.267176,0.801527,-0.030534
4464.430000,-2.549618,1.106870,0.366412
4464.441000,-2.916031,1.122137,0.190840
4464.452000,-3.496183,0.160305,-0.519084
4464.463000,-3.022901,0.152672,0.229008
4464.474000,-2.458015,0.335878,0.854962
4464.485000,-2.770992,-0.900763,0.541985
4464.497000,-2.061069,-1.603053,0.366412
4464.508000,-2.213740,-1.618321,0.198473
4464.519000,-2.160305,-0.954198,0.748092
4464.531000,-2.671756,0.145038,0.053435
4464.542000,-2.595420,0.984733,0.038168
4464.553000,-2.870229,0.213740,0.625954
4464.564000,-2.809160,0.366412,0.061069
4464.575000,-2.954198,-0.549618,0.083969
4464.586000,-2.717557,-0.213740,-0.183206
4464.598000,-1.900763,0.106870,0.442748
4464.609000,-2.442748,-0.809160,0.282443
4464.620000,-2.778626,-1.343511,-0.022901
4464.631000,-2.389313,-0.854962,-0.068702
4464.645000,-3.083969,-0.137405,-0.221374
4464.657000,-2.679389,-0.465649,0.648855
4464.669000,-2.366412,-0.282443,0.114504
4464.680000,-3.076336,-0.954198,-0.145038
4464.691000,-2.099237,0.099237,0.351145
4464.703000,-2.419847,-0.328244,0.458015
4464.714000,-2.335878,-0.435114,0.274809
4464.725000,-2.496183,-0.053435,0.160305
4464.736000,-2.511450,-0.870229,0.450382
4464.747000,-2.259542,0.000000,0.320611
4464.758000,-3.167939,0.022901,-0.114504
4464.769000,-2.679389,-0.106870,0.076336
4464.780000,-2.519084,-0.015267,0.183206
4464.791000,-2.877863,-0.412214,0.290076
4464.802000,-2.664122,-0.389313,-0.206107
4464.813000,-2.366412,-0.633588,0.244275
4464.831000,-2.381679,-0.412214,0.045802
4464.843000,-3.038168,-0.045802,-0.007634
4464.854000,-2.748092,-0.389313,0.419847
4464.865000,-2.793893,-0.267176,0.221374
4464.877000,-2.809160,-0.145038,-0.404580
4464.888000,-2.648855,0.343511,0.335878
4464.899000,-2.206107,-0.038168,1.061069
4464.911000,-2.648855,-0.465649,0.190840
4464.922000,-2.587786,-1.480916,0.198473
4464.936000,-2.312977,-0.671756,-0.083969
4464.948000,-2.633588,-0.022901,0.458015
4464.959000,-3.045802,-0.503817,-0.129771
4464.970000,-3.022901,-0.320611,-0.076336
4464.981000,-2.664122,-0.007634,0.358779
4464.992000,-2.259542,1.122137,0.465649
4465.003000,-2.641221,-0.083969,0.137405
4465.015000,-2.916031,-0.793893,-0.137405
4465.026000,-2.290076,-0.725191,0.404580
4465.037000,-2.091603,-0.740458,0.290076
4465.048000,-2.450382,-0.816794,0.427481
4465.060000,-2.717557,-0.061069,0.206107
4465.071000,-2.854962,0.076336,0.083969
4465.082000,-2.618321,-0.198473,0.190840
4465.093000,-2.816794,-0.725191,-0.297710
4465.104000,-2.862595,0.687023,-0.274809
4465.115000,-2.381679,1.190840,0.381679
4465.127000,-2.740458,-0.251908,0.442748
4465.138000,-2.694656,-1.595420,-0.045802
4465.149000,-2.801527,-1.320611,-0.099237
4465.160000,-2.412214,0.083969,0.343511
4465.171000,-2.076336,-0.106870,0.969466
4465.182000,-2.435115,-0.641221,0.358779
4465.193000,-3.045802,-0.687023,-0.442748
4465.241000,-2.770992,0.091603,0.114504
4465.253000,-2.389313,0.167939,0.175573
4465.264000,-2.908397,0.244275,0.465649
4465.275000,-2.557252,-0.244275,0.320611
4465.286000,-3.007634,-1.351145,0.076336
4465.297000,-2.274809,-1.305344,0.297710
4465.309000,-2.091603,-1.122137,0.442748
4465.320000,-2.679389,-0.534351,0.068702
4465.331000,-2.480916,0.473282,0.358779
4465.343000,-2.450382,0.908397,0.503817
4465.354000,-2.839695,0.427481,0.099237
4465.365000,-3.557252,-0.534351,-0.625954
4465.377000,-2.717557,-0.022901,0.045802
4465.388000,-2.343511,0.709924,0.549618
4465.399000,-2.603053,-0.854962,-0.061069
4465.411000,-2.534351,-0.664122,0.106870
4465.422000,-2.229008,-1.206107,0.847328
4465.433000,-2.496183,-1.633588,0.435114
4465.444000,-2.580153,-0.519084,-0.290076
4465.455000,-2.748092,1.007634,0.129771
4465.466000,-2.793893,0.687023,0.175573
4465.477000,-3.267176,0.984733,-0.259542
4465.488000,-3.419847,0.061069,-0.221374
4465.500000,-2.816794,0.496183,0.412214
4465.511000,-2.770992,-0.022901,0.374046
4465.524000,-2.129771,-0.725191,0.282443
4465.536000,-2.412214,-1.343511,0.488550
4465.547000,-2.236641,-1.221374,-0.045802
4465.559000,-3.068702,-0.587786,-0.244275
4465.570000,-2.335878,0.091603,0.480916
4465.581000,-2.366412,-0.137405,0.251908
4465.592000,-3.251908,0.534351,-0.412214
4465.604000,-2.977099,0.900763,-0.229008
4465.615000,-2.740458,1.992366,0.938931
4465.626000,-3.129771,-0.038168,-0.106870
4465.637000,-2.442748,-1.511450,-0.160305
4465.648000,-2.045802,-1.183206,0.564886
4465.659000,-1.839695,-0.824427,0.610687
4465.671000,-2.351145,-0.549618,0.427481
4465.682000,-2.580153,0.083969,0.473282
4465.693000,-2.709924,-0.648855,0.366412
4465.704000,-2.839695,-0.374046,0.061069
4465.716000,-2.992366,1.145038,0.083969
4465.727000,-3.122137,1.015267,0.381679
4465.738000,-2.549618,0.549618,0.480916
4465.749000,-2.595420,-0.633588,0.335878
4465.760000,-2.694656,-1.221374,0.022901
4465.770000,-2.496183,-0.458015,-0.083969
4465.781000,-2.381679,-0.618321,0.328244
4465.793000,-2.427481,-0.564886,0.274809
4465.807000,-2.442748,0.541985,0.832061
4465.819000,-2.778626,-0.267176,-0.335878
4465.830000,-3.190840,0.236641,-0.083969
4465.841000,-2.763359,-0.259542,0.351145
4465.852000,-2.427481,-0.206107,0.290076
4465.863000,-2.679389,-0.633588,-0.129771
4465.874000,-2.625954,-0.022901,0.183206
4465.885000,-2.633588,0.083969,0.236641
4465.896000,-2.755725,-0.404580,0.198473
4465.907000,-2.709924,0.244275,0.335878
4465.918000,-2.351145,-0.183206,0.145038
4465.930000,-2.778626,0.885496,0.206107
4465.940000,-2.099237,-0.938931,0.625954
4465.951000,-2.541985,-1.061069,0.091603
4465.963000,-2.458015,-0.931298,-0.305344
4465.974000,-2.206107,-0.213740,0.931298
4465.985000,-2.229008,0.564886,0.694656
4465.996000,-2.595420,0.022901,0.000000
4466.006000,-3.015267,-0.442748,0.091603
4466.017000,-2.877863,1.106870,-0.320611
4466.029000,-3.229008,1.450382,0.007634
